id,name,city,lat,lon,opened,closed,notes,map_layer,tier,enclosure,building_type,material,capacity,hw_ratio
LON044,Slaughter's Coffee House,London,51.5110,-0.1267,1692,,St Martin's Lane. Artists and chess players. Active throughout.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.50
LON045,Lloyd's Coffee House,London,51.5135,-0.0876,1688,,Tower Street then Royal Exchange from 1774. Insurance underwriters.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.00
LON046,Chapter Coffee House,London,51.5154,-0.1000,1715,,Paternoster Row near St Paul's. Booksellers and publishers. Active throughout.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,2.80
LON047,Garraway's Coffee House,London,51.5133,-0.0874,1669,,Exchange Alley. Auctions and financial news. Active throughout.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,3.50
LON048,The City of London,London,51.5155,-0.0922,,,The square mile. Commercial and financial heart. Contrasted with West End throughout the period.,rocque_1746;horwood_1799,3,open,district,mixed,n_a,1.60
LON049,Bloomsbury,London,51.5226,-0.1246,,,Inner northern district. Developed progressively through 18c.,rocque_1746;horwood_1799,4,open,district,brick,n_a,1.20
LON050,Holborn,London,51.5185,-0.1197,,,Legal district. Inns of Court. Stable throughout.,rocque_1746;horwood_1799,2,open,district,mixed,n_a,1.40
LON051,Soho,London,51.5137,-0.1337,,,Mixed bohemian district. Huguenot quarter. Stable throughout.,rocque_1746;horwood_1799,2,open,district,mixed,n_a,1.80
LON052,Southwark (the Borough),London,51.5034,-0.0909,,,South bank. Coaching inns Borough High Street debtors prison.,rocque_1746;horwood_1799,2,open,district,mixed,n_a,1.70
LON053,Mayfair,London,51.5089,-0.1467,,,Aristocratic West End district. Developed through 18c. Contrasted with City.,rocque_1746;horwood_1799,5,open,district,brick,n_a,1.00
BAT013,Gay Street,Bath,51.3831,-2.3614,1734,,Connecting Queen Square to the Circus. Built 1734.,wood_1736;harcourt_1794,3,open,street,stone,n_a,2.00
BAT014,Cheap Street,Bath,51.3799,-2.3598,,,Main Bath shopping street. Distinct from London's Cheapside. Stable throughout.,wood_1736;harcourt_1794,3,open,street,stone,n_a,2.00
BAT015,Argyle Street,Bath,51.3820,-2.3601,1789,,Connects Pulteney Bridge to Laura Place. Part of Bathwick Estate development.,harcourt_1794,4,open,street,stone,n_a,1.30
BAT016,Pulteney Street,Bath,51.3838,-2.3554,1789,,Grand main street of Bathwick Estate. Cannot appear pre-1789.,harcourt_1794,4,open,street,stone,n_a,0.45
LON074,Newgate Prison,London,51.5153,-0.1017,1188,,Primary criminal prison of London; adjacent to the Sessions House. Rebuilt 1770-78 (Architects: George Dance the Younger).,horwood_1799,1,enclosed,prison,stone,large,2.00
LON075,Fleet Prison,London,51.5144,-0.1048,1197,1844,Debtors' prison on the east bank of the Fleet River. Demolished 1844.,rocque_1746;horwood_1799,1,enclosed,prison,brick,medium,2.20
LON076,Marshalsea Prison,London,51.5006,-0.0948,1373,1842,Debtors' prison in Southwark. Site now marked in Borough High Street. Cannot appear post-1842.,rocque_1746;horwood_1799,1,semi_open,prison,brick,medium,1.70
LON077,Bridewell Prison,London,51.5128,-0.1024,1553,1855,House of correction near Blackfriars Bridge. Originally a royal palace.,rocque_1746;horwood_1799,1,enclosed,prison,stone,medium,1.30
LON078,King's Bench Prison,London,51.5005,-0.0962,1373,1869,Debtors' and misdemeanour prison in Southwark Borough.,rocque_1746;horwood_1799,1,semi_open,prison,brick,medium,1.70
LON079,Tothill Fields Bridewell,London,51.4961,-0.1335,1618,,Westminster house of correction. Site now occupied by HM Prison Belmarsh predecessor.,rocque_1746;horwood_1799,1,semi_open,prison,brick,small,1.00
LON080,Old Bailey Courthouse,London,51.5151,-0.1017,1539,,The Sessions House on Old Bailey street; Central Criminal Court from 1907. Adjacent to Newgate Prison.,rocque_1746;horwood_1799,2,enclosed,court,stone,medium,2.00
LON081,Bow Street Magistrates Court,London,51.5133,-0.1228,1739,,Founded by Henry Fielding 1739; home of the Bow Street Runners.,rocque_1746;horwood_1799,2,enclosed,court,brick,small,1.00
LON082,Smithfield Market,London,51.5188,-0.1008,,,Livestock and meat market; notorious for smell and noise. West Smithfield area.,rocque_1746;horwood_1799,1,open,market,outdoor,vast,0.20
LON083,Billingsgate Fish Market,London,51.5072,-0.0843,,,Fish market on Lower Thames Street below London Bridge. Notorious for coarse language and smell.,rocque_1746;horwood_1799,1,open,market,outdoor,large,0.80
LON084,Leadenhall Market,London,51.5127,-0.0831,1321,,Poultry and general produce market in the City.,rocque_1746;horwood_1799,3,semi_open,market,stone,large,1.00
LON085,Covent Garden Market,London,51.5127,-0.1228,1654,,Fruit and vegetable market; distinct from the Theatre and Piazza entries.,rocque_1746;horwood_1799,2,open,market,outdoor,large,0.20
LON086,St Giles / Seven Dials,London,51.5162,-0.1276,,,Dense slum district; large Irish population. Centre of Seven Dials rookery.,rocque_1746;horwood_1799,1,open,district,timber,n_a,2.50
LON087,Whitechapel,London,51.5163,-0.0647,,,East End district; mixed immigrant population; extensive street trade.,rocque_1746;horwood_1799,1,open,district,mixed,n_a,2.00
LON088,Spitalfields,London,51.5195,-0.0741,,,Huguenot weaver district; silk industry; became increasingly impoverished late 18c.,rocque_1746;horwood_1799,1,open,district,mixed,n_a,2.20
LON089,Wapping,London,51.5073,-0.0535,,,Riverside district; sailors and dockhands; Execution Dock for pirates.,rocque_1746;horwood_1799,1,open,district,mixed,n_a,1.80
LON090,Cheapside,London,51.5144,-0.0943,,,Major commercial thoroughfare through the City of London.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.10
LON091,Holborn,London,51.5183,-0.1197,,,Mixed district merging lawyers' quarter (Inns of Court) with dense residential areas.,rocque_1746;horwood_1799,2,open,district,mixed,n_a,1.40
LON092,Fleet Street,London,51.5139,-0.1056,,,Print trade and taverns; connects City to Temple Bar.,rocque_1746;horwood_1799,3,open,street,mixed,n_a,1.30
LON093,Southwark / Borough,London,51.5024,-0.0932,,,South bank district; tanneries; brewing; Bankside entertainment.,rocque_1746;horwood_1799,1,open,district,mixed,n_a,1.80
LON094,Tyburn Gallows,London,51.5140,-0.1590,,1783,Public execution site at the north-east corner of Hyde Park (near modern Marble Arch). Cannot appear post-1783.,rocque_1746,1,open,execution,outdoor,vast,0.10
LON095,Newgate Gallows,London,51.5151,-0.1017,1783,,Public executions moved outside Newgate Prison after 1783. Cannot appear pre-1783.,horwood_1799,1,semi_open,execution,stone,large,2.00
LON096,Greenwich Park,London,51.4769,0.0005,,,Royal park on the south bank; site of Greenwich Fair (Easter and Whitsun).,rocque_1746;horwood_1799,3,open,park,outdoor,vast,0.10
SUR001,Surrey (Highbury),England,51.24,-0.30,,,Austen's Emma. Highbury modelled on Leatherhead/Box Hill area of Surrey.,n_a,3,open,district,outdoor,n_a,0.10
IRL001,Ireland,Ireland,53.35,-7.50,,,Edgeworth's Castle Rackrent. Rural Ireland.,n_a,3,open,district,outdoor,n_a,0.10
SCO001,Scottish Highlands,Scotland,56.80,-5.00,,,Radcliffe's Castles of Athlin and Dunbayne. Highland setting.,n_a,3,open,district,outdoor,n_a,0.10
ITA001,Italian Alps / Southern France,Italy,44.40,6.70,,,Radcliffe's Mysteries of Udolpho. Pyrenees to Apennines.,n_a,3,open,district,outdoor,n_a,0.10
EUR001,Capuchin Monastery Madrid,Spain,40.4210,-3.6994,,,Lewis's The Monk. Capuchinos de la Paciencia; site now Plaza Pedro Zerolo. Ambrosio's monastery.,n_a,3,enclosed,church,stone,medium,0.10
EUR002,Convent of St Clare Madrid,Spain,40.4185,-3.7138,,,Lewis's The Monk. Agnes imprisoned here. Site now Plaza de Oriente; demolished by Joseph Bonaparte.,n_a,3,enclosed,church,stone,medium,0.10
EUR003,Castle Lindenberg (Germany),Germany,48.50,9.00,,,Lewis's The Monk. Bleeding Nun episode; Raymond and Agnes subplot.,n_a,4,open,district,outdoor,n_a,0.10
FRA001,France,France,47.00,2.00,,,Radcliffe's Romance of the Forest. Provincial France.,n_a,3,open,district,outdoor,n_a,0.10
ITA002,Naples / Southern Italy,Italy,40.85,14.27,,,Radcliffe's The Italian. Naples and the Abruzzo.,n_a,3,open,district,outdoor,n_a,0.10
ITA003,Sicily,Italy,37.50,14.00,,,Radcliffe's A Sicilian Romance. Castle of Mazzini.,n_a,3,open,district,outdoor,n_a,0.10
MDE001,Arabia / Middle East,Arabia,33.00,44.00,,,Beckford's Vathek. Samarah and Istakhar.,n_a,3,open,district,outdoor,n_a,0.10
ENG001,Medieval England,England,52.00,-1.20,,,Reeve's Old English Baron. Medieval English castle setting.,n_a,3,open,district,outdoor,n_a,0.10
ITA004,Otranto / Southern Italy,Italy,40.15,18.49,,,Walpole's Castle of Otranto. Puglia.,n_a,3,open,district,outdoor,n_a,0.10
LON097,Exeter Change Menagerie,London,51.5115,-0.1201,1773,1829,Strand menagerie on upper floors of the Exchange building. Pidcock then Cross collection. Roars of lions and tigers audible in the Strand and frightened horses. Demolished 1829.,rocque_1746;horwood_1799,3,enclosed,menagerie,timber,medium,1.20
LON098,John Noon's shop (Cheapside),London,51.5135,-0.0930,1735,1745,White Hart near Mercer's Chapel. Bookseller.,rocque_1746,4,enclosed,bookseller,timber,small,1.00
LON099,Paternoster Row booksellers,London,51.5145,-0.0988,,,Longman Cooper and others. Core of London book trade near St Paul's.,rocque_1746;horwood_1799,3,enclosed,bookseller,timber,small,1.80
LON100,Millar-Cadell shop (Strand),London,51.5114,-0.1202,1728,1802,Opposite Catherine St. Millar 1728-68 then Cadell 1768-1802.,rocque_1746;horwood_1799,3,enclosed,bookseller,brick,small,1.30
LON101,Dodsley's shop (Pall Mall),London,51.5070,-0.1340,1735,1764,Tully's Head. Robert Dodsley bookseller and publisher.,rocque_1746,4,enclosed,bookseller,brick,small,0.80
LON102,Rivington's (St Paul's Churchyard),London,51.5140,-0.0988,1711,,Bible and Crown. Rivington dynasty booksellers.,rocque_1746;horwood_1799,4,enclosed,bookseller,brick,small,1.60
LON103,Murray's shop (Fleet Street),London,51.5138,-0.1065,1768,1793,32 Fleet Street. John Murray I.,rocque_1746;horwood_1799,4,enclosed,bookseller,brick,small,1.30
LON104,Temple of the Muses (Finsbury),London,51.5225,-0.0870,1794,,Lackington's massive bookshop. Finsbury Square.,horwood_1799,4,enclosed,bookseller,brick,large,0.60
LON105,Little Britain,London,51.5170,-0.0980,,,Major bookselling street near Aldersgate and St Bartholomew's. Peak late 17c; declined after 1720.,rocque_1746,3,open,bookseller,mixed,n_a,2.00
LON106,London Bridge booksellers,London,51.5070,-0.0870,,,Bookshops on and near London Bridge. Active 17c-18c.,rocque_1746,4,open,bookseller,mixed,n_a,1.50
LON107,Royal Exchange booksellers,London,51.5135,-0.0870,,,Booksellers in and around the Royal Exchange. Cornhill area.,rocque_1746;horwood_1799,4,enclosed,bookseller,brick,small,1.20
LON108,Aldersgate Street booksellers,London,51.5190,-0.0975,,,Near Little Britain. Book trade cluster with Duck Lane.,rocque_1746,4,open,bookseller,mixed,n_a,1.80
LON109,Turk's Head Coffee House (Gerrard St),London,51.5122,-0.1312,1764,1783,Gerrard Street Soho. Johnson's Literary Club founded here 1764. Members: Johnson Burke Goldsmith Reynolds Garrick Boswell.,rocque_1746;horwood_1799,2,enclosed,coffeehouse,timber,small,1.80
LON110,Bedford Coffee House,London,51.5115,-0.1228,1730,,Under the Piazza Covent Garden. Actors playwrights theatrical world. Garrick Foote Sheridan Fielding.,rocque_1746;horwood_1799,2,enclosed,coffeehouse,timber,small,0.70
LON111,St James's Coffee House,London,51.5070,-0.1375,1705,,St James's Street. Whig political house. Addison Steele Swift Prior. Post Office collection point.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.20
LON112,Grecian Coffee House,London,51.5125,-0.1130,1665,,Devereux Court off Strand near Temple. Learned and scientific. Royal Society fellows. Halley Newton Sloane.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,2.50
LON113,Child's Coffee House,London,51.5143,-0.0990,1690,,St Paul's Churchyard. Clergy and booksellers. Near Chapter Coffee House.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.60
LON114,Dick's Coffee House,London,51.5138,-0.1100,1680,,8 Fleet Street near Temple Bar. Steele frequented. Bookseller district.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.30
LON115,Nando's Coffee House,London,51.5133,-0.1110,1696,,Fleet Street near Inner Temple Gate. Lawyers and legal trade.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.30
LON116,George's Coffee House,London,51.5118,-0.1190,1723,,Strand between Temple Bar and Somerset House. Wits and literary men.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.30
LON117,Smyrna Coffee House,London,51.5068,-0.1345,1702,,Pall Mall. Political and diplomatic. Swift frequented.,rocque_1746,3,enclosed,coffeehouse,timber,small,0.80
LON118,Cocoa Tree Chocolate House,London,51.5069,-0.1368,1698,,Pall Mall then St James's Street. Tory political house. Gibbon was a member.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.00
LON119,White's Chocolate House,London,51.5074,-0.1380,1693,,St James's Street. Became White's Club 1736. Fashionable and gambling. Steele used as Tatler setting.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.00
LON120,Old Slaughter's Coffee House,London,51.5112,-0.1270,1692,,St Martin's Lane. Artists Hogarth Roubiliac foreign artists. Distinct from (New) Slaughter's.,rocque_1746,3,enclosed,coffeehouse,timber,small,1.50
LON121,Jonathan's Coffee House,London,51.5133,-0.0870,1680,,Exchange Alley Cornhill. Stock jobbers. Became the Stock Exchange 1773.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,3.50
LON122,Tom King's Coffee House,London,51.5115,-0.1235,1720,1747,Covent Garden piazza. Notorious all-night house. Hogarth's Morning. Disorderly clientele.,rocque_1746,2,enclosed,coffeehouse,timber,small,0.70
LON123,Rawthmell's Coffee House,London,51.5118,-0.1175,1700,,Henrietta Street Covent Garden. Auctions. Thomas Rawthwell auctioneer.,rocque_1746,3,enclosed,coffeehouse,timber,small,1.00
LON124,Rainbow Coffee House,London,51.5137,-0.1085,1656,,Fleet Street near Inner Temple. One of oldest in London. Legal and literary.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.30
LON125,Marine Coffee House,London,51.5090,-0.0795,1689,,Birchin Lane then later locations. Shipping and maritime intelligence.,rocque_1746,4,enclosed,coffeehouse,timber,small,2.00
LON126,Jerusalem Coffee House,London,51.5130,-0.0870,1671,,Cowper's Court Cornhill. East India and colonial trade.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,2.50
LON127,Sam's Coffee House,London,51.5148,-0.1000,1700,,Ave Maria Lane near Paternoster Row. Book auctions. Booksellers met here.,rocque_1746;horwood_1799,4,enclosed,coffeehouse,timber,small,2.00
LON128,Pasqua Rosee's Coffee House,London,51.5133,-0.0870,1652,1666,St Michael's Alley Cornhill. First coffee house in London c.1652.,rocque_1746,4,enclosed,coffeehouse,timber,small,3.00
LON129,British Coffee House,London,51.5072,-0.1345,1722,,Cockspur Street near Charing Cross. Scottish meeting place. Boswell frequented.,rocque_1746;horwood_1799,3,enclosed,coffeehouse,timber,small,1.00
LON130,Peele's Coffee House,London,51.5140,-0.1070,1690,,Fleet Street opposite Fetter Lane. Legal profession.,rocque_1746;horwood_1799,4,enclosed,coffeehouse,timber,small,1.30
BAT017,Gill's Coffee House,Bath,51.3815,-2.3590,1730,,Near the Pump Room. Principal Bath coffee house. News and gossip.,wood_1736;harcourt_1794,3,enclosed,coffeehouse,stone,small,1.50
BAT018,Lyncombe's Coffee House,Bath,51.3810,-2.3585,1740,,Near the Abbey. Social meeting place.,wood_1736;harcourt_1794,4,enclosed,coffeehouse,stone,small,1.50
BAT019,Terret's Coffee House,Bath,51.3812,-2.3595,1750,,Wade's Passage near the Pump Room. Physicians and visitors.,wood_1736;harcourt_1794,4,enclosed,coffeehouse,stone,small,1.50
BAT020,Bath booksellers (Milsom Street),Bath,51.3837,-2.3618,1761,,Milsom Street. Cruttwell Bull and other Bath booksellers from 1760s.,harcourt_1794,4,enclosed,bookseller,stone,small,1.40
BAT021,Leake's Bookshop,Bath,51.3815,-2.3592,1730,,Near the Pump Room. James Leake principal Bath bookseller. Fielding connection.,wood_1736;harcourt_1794,4,enclosed,bookseller,stone,small,1.50
BAT022,Hazard's Bookshop,Bath,51.3799,-2.3598,1770,,Cheap Street. Samuel Hazard bookseller printer and newspaper proprietor.,harcourt_1794,4,enclosed,bookseller,stone,small,2.00
EDIN001,High Street (Royal Mile),Edinburgh,55.9505,-3.1883,,,The main thoroughfare. Booksellers printers parliament courts. Centre of Edinburgh life.,n_a,2,open,street,stone,n_a,2.50
EDIN002,Parliament Close,Edinburgh,55.9498,-3.1905,,,Behind St Giles'. Court of Session. Booksellers clustered here including Kincaid and Creech.,n_a,3,open,street,stone,n_a,3.00
